username,comment,likes
gerladioo,alamak,0
cicilia.c,sakitttt,0
mey.and0,sakit semua plis,0
souwonchi22,makin males denger nama fakultas,0
username7711778,Gimik ini,0
zeraalw,UI loh padahal?,12
shelucky8,Belajar Hukum tp ga tau tindakanya 🙄,5
bootol_kecapp,"kak makasih ya, sudah selalu speak up tiap ada kasus pelecahan, aku sbagai cewk gak pernnah ngerasa aman tiap keluar rumah",5
babyoceann,malu malu,6
nurmukhlis728,ouh ini univ yg kata orang masuknya susah banget ya,5
aayyyrrnnn,"kampus itu lagi, pdahal itu kampus impian gw😔",3
kristinads0,nyangka ga lo pada?,39
darrelcute3,"ui?, udah bener nih guweh unpad 🥰",8
self.joy,di akun linaa lagi live tu bg,3
cariapaa.92,SEKELAS UI?!!,3
martabakcoklate,"padahal fakultas HUKUM , ui pula",2
muhamad.ardiansyah125,hmm univ ini lg,3
bintanghebat_,sakit semua orang itu,4
chocoolattee88,tetap aja UI number one,1
anaazis41,baru lewat tadi,0
nnrsyy_,,19
chfas_singga,Sampe malam aku ngikutin ini,18
lamsss27_,"Sebenernya banyak yg ky bgini, cm ga viral aja 😭",5
itsrd777,"[Sticker] Udh FH, UI lg",13
yourdaix,calon² penegak hukum d indo begini🙂,11
madaher.a,"udah hukum, UI LAGI...",9
applepien_.s,[Sticker] ,5
seblakbocii,"ini baru yg ketahuan,, apa kabar yg ga ketahuan. sakit siih😭😭",11
fiiyaya_,fakultas hukum loh..,10
...tij0,adeh ui lagi,3
maikel17063,Gue nonton livenya smpe subuh😂,3
lav.ie.ed,bukan cuma itu aja sih kyknya,3
michiinat,akreditas turun gak sii klu beginii .. bjir bgtt pdhl negri,3
hyrepi,UI? Oh udah biasa ga heran,3
tuanmudaxhere,alasan saya ga kuliah di UI,3
tdkadaorg0_,dari 16 orang pelaku yg ngadep cuman 2 orang😓👎,3
dzulfikiriabi,padahal ui katanya universitas top,3
cungpretgenduy,tadi malem hbs streamingg,3
mamimaumakan,pendidikan akademis yang baik dan ternama sekalipun gk menjamin baik dan benarnya karakter dan pola pikir 🤔,3
nathalichristi,ih Ngerinya lah,3
iniriizzaall,top 1 univ tuh😹,3
dika_ay26,teman-teman BEM UI mana suaranya???,3
vanstolch,"jujur kecewa banget, tapi ga kaget",3
setiamandala__,"Kalau secara hukum ga akan ada satu pasalpun yang bisa menjerat mereka. karena lingkupnya sangat pribadi,group wa. dan tidak ada satu tindakan apapun yang dilakukan oleh mereka,jatohnya mereka hanya ngobrol/sharing/diskusi. dan setiap orang mempunyai hak untuk itu..",3
xsooodraff,UI omgggg UIaaaaaaaUIaaaaaaaUI,3
freakyu_,uintut,3
princess.esti1,[Sticker] etdahh kampus itu lagi dan lagi,3
imgrowup,"CHECK, MY REPOST",3
evosbahlil,ah....kampus itu lagi 🗿,3
faabf,bg sorry tapi masa tiba²mimpiin dirimuu bersama sikadam²ntuhhh😔,3
cinderlaylaa,2023? yaampun dek dek,3
meycattie,nonton live nya baru kelar jam 3subuh😭,3
bielllaak,[Sticker] JIR UI LOHHH???,3
masbhakti,pengalihan isu apa ya,3
pputra.472003,ini masalahnya soal apa si? ngomongin orang di chat kah? terus ada yang ngeshare,3
firmannprnmaa,tadi denger di live katanya ada keponakan dekan fh ui ya?,3
menahandiare,gada cancel culture ui kah,3
akupacarmingyuuuuu,kirain tadi live apa sampe jam sgini ga pulang pulang😭😭😭,3
zeggy_,"kampus gw, mirisssssss",3
mager_ngetik,ada yang live sekarang,3
iputuwiradana,hadeh ui,3
wiorakuu,"""ini yang ke publish doang"" 😏",3
esguddeyy,barusaan liat live nyaa,3
oakznxj,[Sticker] astagfirullah,3
rorojuro55,"masih rame nih live nya btw, lagi klarif meren",2
tiramissyuwww,mirisss bgttt:(,3
binijaehyun111,pantes jam segini rame bgt di fakultas itu live,3
alinnav0,SEKELAS UI😭,3
kairyyy_7,"bisa""nya anjirr🗿 kacauu",3
mojopahit492,BIBIT BIBIT PEMERINTAH 🤣🤣,3
syhr.al,FAKULTASS HUKUMM IHH??,3
desccathv,@🌵: pendidikan harus berdampingan sama etika,3
muhamad.ardiansyah125,hmm univ ini lg,3
self.joy,di akun linaa lagi live tu bg,3
meesyaaaala,baru aja nonton live sidang nya,3
ccaca1502,sekelas UI?? hukum lagii,3
rellhoww,"UI, FH LAGII.. MIRISS BGT",3
_seraeu,udah ada tuh sidang live nya,3
jasjussvan,"udh gausah masuk ui, biar aku aja fakultas kedokteran😭",3
nanapauu6,@￴ @lunar @Zeniinn_maki @han  🐾,3
ssept1an,belajar hukum buat apaan buset,3
tyanadana,YA ALLAHHHH,3
andrea...s5,sebenarnyaa banyak lagii yg ga ketauan aja wkwwk😝😝😝😝,3
poyoyoii163,sakit benerrrr,3
nafshfa,stress,3
teh.pakai.es,"Lagi di sidang gais, cari livenyaa",3
killedby_y,lagi live tuhh sekarang,3
caaaloneely,padahal fh loh...,3
ginan974,miris😭malu bgt,3
aff__200409,"mrka knp g bersyukur bgt ya? ak yg bljr mati""an buat masuk fh ui liat ini nangis dipojokan woi😔😔",3
xalsayoo,gak kaget soal nya fakultas hukum,3
yourname.sekar,ada aja si ui ui ini 🤗,3
oyaamoy,[Sticker] hu-hukumn,3
mirza_imupss,fakultas hukum lh...,3
jvagf0,@à @na-ioo. 🍅 @𐙚vanessa𐙚 @im_thanzz🎶,3
beigealmond_,"kalo kedepannya pelaku jadi firma hukum, aneh sih",3
shalisaaa_10,Dulu kak Saddam kuliah dmn deh? Pinter bngt omgggg,3
kucingberak74,ui lagi ui lagi mending turunin aja peringkat ui 🗿,3
ashaa2202,"[Sticker] @gergeousleopard:sebagai calon hakim yang amanah dan bertanggung jawab di masa depan, aku marah banget sih",3
redhibiscusd,demi Allah sakit bgt baca chat mereka..,3
kzetrum,hahahaha ngakak jirrr UI tuh bgtuu?,3
ratuuchv,"padahal banyak bgt yg mau di posisi mereka, kuliah di univ fav dan masuk fh tapi kenapa mereka yg udah ada di posisi itu malah buat masa depan nya sia-sia😔😔😔",3
antikkkkkkkkkkkkkkkkkk,Stressss stressss,3
crall_wavy,[Sticker] udah fakultas hukum ui lagi ui loh universitas Indonesia,3
miranameletupppp,UPUP!!!,3
aayyyrrnnn,"kampus itu lagi, pdahal itu kampus impian gw😔",3
st4rryn1ght__,🥺🥺🥺,3
yeye_iro,sampai merinding loh!,1
rimamozza5,miris banget😳,2
miuciaaaa,hahaha upssss,2
d44_scd,[Sticker] sekelas FH🥺,2
enong.lenii,"Astaghfirullah 😭
Miris ,,,,,,",2
masb4i,oops ui lo ini,2
feirnlyy.g,"kakk bahas rumah sakit hasan sadikin jugaa kakk, aku maish bingung sama itu",1
helloiamatrosey,kawal terus sampe di do🙏,2
ponaaa24,yg semalem live ini ya😭,2
_idlan1r,"UI lagi UI lagi, ni kampus bermasalah mulu",2
dr.gysa,PARAHHHHHHHHHHHHH,2
van_teddy,UI AAAA UI AAA UI. UIIIAUIAA AUIAAA AAUUUIIIII,2
prom700,Kak hati2 ya😭,2
amelamel_21,"amit""ihhh",2
nananaiiiiw,jadi takut milih ui..,1
nca_aa_4,"ga beda jauh dari film dear nathan ga si,d ui juga!!",2
yeoja_08,kirain kedepannya bakal lebih baik 😢,2
itsnotbrodi,"alasan saya kenapa gamau kuliah ya gini ada ada aja gebrakan nya, hbs lulus smk mending kerja nyari uang aman dechhh",2
jamaliah280,jaman gue 2009-2012 itu rame Malah #UICANTIK #UIGANTENG . oh dlu pernah ada FIB ... dan ITU DPROSES hukum jg setau gue,2
imiccuwww,"UI, hukum pulak🙂",2
erfnnbl,ngeriii gak sih sekelas UI@im nayl @إلي🎀,2
sani.bae79,live tadi malem,2
afifaharafahjaeshi,Live semalam rame banget pas gw lagi nonton Justin fyp.,2
mmdhane,waduhhhhh,2
userr550524,emng bener adab dlu baru ilmu,2
syedo.25,UI LOO INI UIIII!!!,2
ayy.pwrettiess,namanya jg kampus gede wkwk😭,2
afdansukendar2,seru bet semalem nonton live nya😂,2
asdfgxxxx5,"Ihh gilaaa ga abis pikir, fakultas hukum lohhh😭",2
haninverse,wah ini sih udah parah banget sekelas ui:(,2
sabillnaz,yg bener di depok cuma gundar🏃🏻‍♀️,2
kikikiki4410,[Sticker] kampus ini lagi 🗿,2
morisscntk04,itulah kenapa pendidikan harus di barengkan dengan etika dan moral,2
aysmrnii,ternyata emang bener nya kalo ilmu nggk dibarengi sama adab dan etika nggk jadi apa2.,2
itss.sweetnes_,oo jadi ini yang rame ituu,2
gas___88,"bukan ui tapi hukum ,semua lagak nya kayak orang paling keren di kampus",2
dyyy__21,sekelas UI loh😭,2
createyourbe,"SEKELASS UI.....
INII YANG TERPUBLISH
BAGAIMANA YANG TAK TERPUBLISH???",2
peeliyyy,UI LOHH,2
bbyyyqueennnlinn,kampus ini lagi….,2
dollievuu14,@ִֶ𝜗𝜚. 🐈‍⬛ @knaaa๑ @hynmutik @mrkhyukc @seonghyeon @scapaaa𓆝 𓆟 𓆞,2
arummelati_26,oalaaa ini yg kasusnya live sampai jam 1 dini hari tadi yaaa😭gilaa aku pikir live apa ini UI,2
1ikh4_f4yy01,baru tau plzz,2
sh4tysss,what a same...,2
chikpalm,Bahkan dosenya juga diomongin di group chatnya…,2
yxcmine,gatau deh sumpah,2
yogarns,univ top 1 apa ni?😂,2
jooooooooooooooo96,"logikanya jalan, tapi empatinya retak,",2
yourrrselfffff,uuuuiiiii,2
userrrmly,@ayudelih_:sekelas ui...,2
riznovvv11,seluruh universitas problematik,2
reginaknn,lihat live ga ada keterangan apa2. akhirnya nemu ceritanya disini,2
amyayam_,ngapain sih sampe jam 3 tuh? 😭,2
esjerukpanasdingin_,"[Sticker] katanya semakin tinggi pendidikan semakin terhormat, nyata nya",2
whos.ciaa,konoha emg gaje,2
cindy.april.siman,"kimak lah ada pulak nama ku ""ezra""😭",2
adainajaa_2,ngeri bgt coyyy,2
gorrenganxiety,wtefak,2
nomnoms817,"dari tadi lewat Mulu live nya penasaran banget, untuk ada pria tampan berprestasi ini",2
ysa_dyra,wehh di bawah ini live sidangnya haha,2
49i_4jja,kevin jabatannya apa ya?,2
yoksijae,malah menyalahgunakan pasal,2
aaaasssssh2,lg live tu,2
lunessa_cae,🥺🥺🥺 nangiss ya Allah,2
dimasanjaybgt,apakah posisi ui akan terganti???,2
bijikopipilihananis,adili anis,2
alwaysziz_014,sumph itu sampe pagi berdiri di sidang😭,2
coffeagirl,UI? hukum? defuggggg. jangan di lulusin pls,2
ararchu,pintar ga menjamin adab seseorang,2
fweettyy,h-hukum⁉️,2
pacarjisunggggie,miriss,2
reynnshinn,alesan gue gamau masuk ui,2
zahreianna.emilynf,Sedih bgt jd cewek😢,2
leanamadana,guna nya masuk hukum apa...,2
nrzaaaa15,sekalas UI...,2
whosbulll,"sekelas ui anjir, kalo ga ditanggepi dengan tegas parah sih",2
matchalvvrs_,sekelas UI.....,2
minnielyrithn,gajadilah aku mau masuk fk ui..,2
_eciiiwaee,@icanurhalisa__ @阿尔莎 @p,2
use72513,SKRNG LAGI LIVEE JIRRR,2
kirakkuraninja,ui lagi ui lagi..,2
fawnnling,@kaylaa,2
iputtajaa0,ada apa dengan anak hukum sekarang,2
softbymanda,UI LOH GUYS😳,2
jillejillee,"kak yang ditunjukin cuma 2 orang dari 16 di auditorium hari ini, artinya apa ya?",2
usera4f6906d2t,[Sticker] universitas problematic ini lagi ( jujur kalo ada kesempatan ke ui gw jg mau njrr ),2
ikogibran_pratama,"hukum lohh sekali lagi ""HUKUM"" univ UI lohhh gak bgtt😭😭",2
nadya_srnn,oala oala,2
favorite66_,SEKELASSSS UI BROWWW,2
ilv_moneyy,denger dari universitas indonesia aja kaget lah ini ditambah dari fakultas HUKUM😭😭,2
laaa_0914,@sh @jjhn @a @hiraash!B @laiya pira @ssellyyy_ @uan aja dee,2
asyaa_846,ui lgi bae,2
itzme._girl,Ooh jdi ini toh Kasus nya,2
_zeeshy0,@skanasgor @ucing @Lyaa`友 @̊⋆˚✿🎀𐙚⋆˚,2
danzzz_cuyy,[Sticker] ini alasan aku pengen banget study abroad,2
hryyaniii07,ui menolak redup,2
.ranggaf,tau gitu kuliah di ut aja,2
lobeliaidril,SETRESSS!!!!!!,2
shvnes3,mending gue dah yang kuliah disitu,2
dnmdne0_0,miris bgt..,2
xv.seadanyaa,engga heran ui banyak kok cmn blm ke publis😂,2
martabakcoklate,"padahal fakultas HUKUM , ui pula",2
zzzresvqie,"GILA BGT COKK.. pas liat di x. semoga ditindak lanjuti deh, eh tp klo ada kuasa sm uang emg bisa ya ditindak lanjutin? upssss",2
rynchaken,ui woi ui.. srius ini yg ke publish doang?,2
ahayyuu8,spill isi chattt,2
thereal_el23,serammm..,2
raireu,@qiniii_2️⃣ @￴ ￴ ￴￴ ￴ ￴ ￴ ￴ ￴ ￴￴ ￴  ￴ yaampon,2
shafiraputri886,@nesoyyaa @g @mpaaᶻ 𝘇 𐰁 @14 @𝐧𝐬𝐲𝐰𝐚𝐚 @zee🍓 @888🧿,2
anysstory,"aku juga korban kasus serupa di uns kak, kejadian saat masih mahasiswa tp bukti keungkap saat pelaku dan aku sama2 sudah lulus",2
hasnaaja04,@sheiraaa. lipp,2
lia668620,"udahlah di Fakultas Hukum terus kampus UI lagi, sekali lagi UI",2
purevanilla_wifes,[Sticker] gajadi masuk ui deh..,2
sstt_only,wkwk,2
dhesysizney0311,@yayapretty @🦖. @pina,2
harvest1754,"hadeh.. udh ui fh lagi, FH LOH YA",2
ndnieyy,@ithanajalah @𝒶𝓃𝑔𝑔𝓊𝓃𝓃𝓃🧚🏼‍♀️ @𓆝 𓆟 𓆞 𓆝 @𝖒𝖊𝖐𝖆𝖆 @🦩🪷 @ë @yyeee @dela @kiaaa🧚🏻‍♀️,2
qilsleppy,@a @ოσყყα♡,2
a.alifanay,astagfirulah ya Allah,2
ddeyyaz,@noura @nasmii @CAA @𝓑𝓪𝓰𝓱𝓮𝓪 ✬:₊,2
beadaboobeeee,@sann @~s~ @user0122218931,2
jen_ooyaa23,spam di sini guys,2
auburnorange,yelah paling ditegur doang abis itu lanjut kuliah ongkang angking kek gaada salah :V kan hukum negara ini udh ga ada harapan lagi :V,2
sickkencut,"kampus ini lagi, ini mulu",2
h0neymoondiingriss,uppp,2
papipul11,[Sticker] ,1
jualsoklin,mosok fakuktas,1
kopi_aren_1,Aman ko kalo anak pejabat dan aparat,1
qisszyla4_,"plss awalnya gimana gw gatau, pinter banget bisa sampai bocor juga chat nya itu loh ngerii😭",1
soyjoyasoyyy,sedih banget jujur💔,1
hutajulu_p,ui lagi ui lagi,0
musyafak_kungkingkang,meme ketika group chat pertemanan kesebar jadi nyata wkwkwkwk😂😂😂,1
acaaahrdn,"malu maluin univ top 1, fh pula 😭",1
gad12_3,ad u di balik b tentang kasus ui,1
pinkyypokie3,miriss bgt asli,1
drunkeu,duhh,1
i.amrastamann,IPK cumlaude adalah bukti disiplin berfikir bukan tiket wajib menjadi PNS .ilmu lahir untuk mengabdi bukan di kurung pada satu status,1
intndfh_,naudzubillah min dzalik,1
jullww1,gila gimna hukum Indonesia kedepannya,1
chocoolattee88,tetap aja UI number one,1
pethamid,Waduuuuhhhhh,1
salsaoctvia,ganteng kaga lu pada,1
summersinz,"jelas2 itu yg ngawal juga org2 fakultas hukum, gajelas pada nyalahin fakultasnya",1
perkedel025,benar benar menakutkan😭,1
sagitadeyiayii,"ORANG BERILMU BELUM TENTU BERADAP
TAPI
ORANG BERADAP SUDAH PASTI BERILMU",1
maulandf21,Ui,1
evgroly67,bagi link live nya kk,1
zytt58,ealaah sakittttt😂🤣,1
kooazaaa,Anjayyyy 🤣🤣,1
magaraskarr,Padahal FH UI loh yaampun🥺,1
bgsnfl,semakin lama prosesnya dan ga di DO yaudah bye FHUI namanya rusak😂,1
_masyaaallah,keknya kalo aja dulu gw berani speak up mybe bakal serame ini😂,1
mahesa7791,ini bukan yah,1
masrahman74,ui apalagi fakultas hukum 😳,1
asyaf_47,fiks gw GK jadi masukin ponakan gw ke universitas itu,1
elisaraani,@🦇 nahda @Guessblessed,1
chocopieee029,UI nih sering bgt blundernya,1
keishaaaditya,ui lohh inii!!!,1
_indahsinaga_,@𝒃𝒐𝒓𝒏𝒆𝒏𝒈 ui pdhl gtu y wkwk,1
nraullllllll,SAKITTTT. dengan sadar membawa uu di chatnya,1
maritjemas,kak lu alumni FH UI jga kn😭,1
hasian506,ui akhir akhir ini stress ya rada rada,1
_heypink,fh ui lagi😭..udh hukum disini ancur..ehhh malah tempat nya bgtu,1
df.ynaa,[Sticker] mrka belajar hukum bkn krn pgn negakin keadilan tpi biar mrka bisa nutupin kejahatan yg mrka perbuat dgn mencari celah hukum dri apa yg mrka pelajari,1
neverseemshappybefore,Lagi lagi ui,1
avvvvocadoo,@naw ngeriii,1
alya_zmi,univ itu lagi...,1
hrvinivy,alasan gw ga masuk ui,1
guh_sptra,mencemar nama baik ui aja,1
_iniastrid07,SEKELAS UI LOHHHH🤭🤭,1
sunarti.dwi.julia,"jaman semakin maju,semakin miris jg kelakuan dan pola pikir manusia",1
whosyisss,@sunshine🌼 @salsaaa @Dinonyalaperrr,1
leeluckyyy,dan gak sedikit yg masih beropini kalau ini cuma pembahasan grup tongkrongan doang gak perlu di umbar2 .. aku marah banget 😭😭😭😭,1
kakahmade,"gu yakin banyak si ga di ui doang cmn ga ketawan aja, gua bisa bilang gini karna kadang di kolom komentar orang bisa terang terangan komen yg melecehkan",1
alletaa_199,24jam scroll tetep aja ketinggalan info,1
kimingg4me,@user187352443,1
defaaaaani.zr,awal mula bisa ketauan gimanaaa,1
xxxxlqu,sedih bgt ya jadi perempuan,1
mraseason,gue juga mahasiswa hukum ikutan malu juga njir walaupun kampus gue UI tambahin N😔,1
piggybluesh,UI sm UGM lama2 downgrade ya kualitas mahasiswanya,1
owie.guztavo,[Sticker] ,1
fian_5678,ada yang bisa ceritain awal mulanya kenapa mereka bisa begitu? soalnya baru tau kasusnya jadi gatau apa-apa selain yg di jelasin di vt,1
lurker4040,[Sticker] HUKUM UI? HUKUM? UI?,1
dyputri_0,Sakit sih,1
tatasetobeli,@𝒸𝓎 @viki @kstixxxzzz_ @neva @єη-✯,1
sillywisa69,tip of the iceberg btw,1
kiranapentoll,pantes kemaren tengah malem ada sidang,1
dann.ajah0,Kenapa ga di DO aja kan udah menjelekkan nama ui,1
araaww.23,gw tau kasus ini karna liat ig story indira,1
skykids_0.0,Jangan lupa kita ini tinggal di mana hehe,1
sky_nsa,@bung @aku_nuryen03 @27 @18,1
yusisofiav,"nah ini tanggapan yang tegas, kalau KS bukan kasus yang sepele dan semoga kampus ui bisa bijak untuk menindak pelaku contohnya DO",1
fiqzrt,udah ga heran lagi sama fh ui,1
sendalbolonkazeek,stress,1
14_eunji,"...ambil hukum buat bela sendiri kah kaka kaka ...
inilah pentingnya ADAB dan ILMU harus berdampingan",1
leyunnaa,@liccy @naa🦋,1
thayaea,HUKUMMM?? UI????????,1
allmayr_,malu maluin bgt fhui😭,1
x.raalvvv,fakultas hukum lohh!? HUKUMMM😔😔,1
sinta.trntp,pantas malam tdi rame yg live,1
nnnaom1ee,miris bgt YaAllah 😭,1
zalyaaaaputri,Astagaaa....,1
kitaekimexico,curiga gua banyak yang belum ketahuan juga🗿,1
icinning,@ᥴey 𐙚:ternyata bener yaa pendidikan tidak menentukan pola pikir manusia..,1
lullabyzme,"dan mereka ini calon jaksa, pengacara, hakim di indonesia gaiss",1
_kinesss,sekelas UI ???,0
dimazakmalbayu,santuy,1
noxxx979,ngeri uga,1
zara_sycml,rendah bgt anjir,1
astianisahari,aq nonton livenya dr sore smpe mlm ini jam 2 an msh live di sidang,1
shopiadini581,haduhhh hukum lagi,1
gassssssz_,"lebih baik kampus kecil dan swasta saya, daripada kampus gede banyak masalah.🤣🤣🤣",1
taroannsoes,jahat bgt pls☹️,1
idkliaguess_,HUKUM INDONESIA KENAPA SIH,1
ukiiy5,"univ ini lagi, asik buat masalah aja bah",1
adhis2603,Fakultas itu lagi🥱,1
galang1001_,tadi malem rame banget bang,1
tatatatatattititititutt,"padahal etika harus lebih dulu di ajarkan pas kecil, kalo kaya gini keliatan ga di ajarin etika sama orang tuanya.",1
chnticp,dunia skrng ya Allah banyak bet kasusnya 😭,1
smyashh,"sorry izin tanya, ko bisa kesebar chatnya?",1
pitriuyy,UNIVERSITAS INDONESIA & FAKULTAS HUKUM LOHHH….,1
dyingnonchalantly,"malem"" live ampe pagi njir😭",1
risaprl6,astaghfirullah,1
itsddilaaaa,Sekali lagi “fakultas hukum”,1
rizzclipers,yaa tau lah bapanya pada berkuasa...,1
p4se3p,wkwkwk baru nontn livenya jir,1
hazellnut__,[Sticker] Sekelas Ui lo rwekkk,1
ubuungiee._,"baru kelar nnton live nya, sumpil berisik bgt",1
usernotfound5.5.5,ui univ terbaik?? .......,1
notfunny04,Anjir angkatau 2023,1
meameew,"tadi sempet baca di tl, ternyata engga cuma mahasiswi. kalau ga salah, ada 7 dosen yang jadi korban juga. dosen loh, dosen. yang ngajarin mereka. miris",1
bienestarrr8,lagi dan lagi UI.,1
alterrain88,hayooo siapa yg cepu😹😹,1
vie.jenn3th,miris,1
ninaharun23,heran heraan herraaaannn,1
raihanalhadinata2,"UI lo padalan, miris x",1
leekmarkk,hdehh pdhal lagi masa nya anak sekolah nyari kampusan,1
ryanafarizyy28,gw nyari masalah nya apa ga ketemu dari tadi,1
geminiwave_,gua ketinggalan bgt anjir,1
kikiiskandar6,lah ui mulu perasaan 😭 ada aja astaga,1
user6510500784971,uin juga,1
jangsshit,sekelas UI,1
batirtaaa,sakit,1
mr.bllma,fh unej 23 otw puncak wox @Nrzz @noval @rayy @☃️,1
m1dnightssssss,UP UP UP,1
leeelaaaaa_,ui again?,1
forurdee,univ itu lagi,1
eica2,[Sticker] Fak Hukum loh padahal ya,1
peachypinkk1,"makanya yg masuk hukum tuh bisa ga sih yg bener bener org jujur ya allah, klo calon penegak hukumnya aja gini gmn nasib rakyat selanjutnya😭😭🥺",1
lyscip.s.quell_,"pantesan dari tadi lewat live tiktok tentang sidang² gitu, taunya kasus p.s mana anak hukum lagi pelakunya miris banget.. 💔🥲😭😭",1
raeltzy.sleman,alasan gw males kuliah hukum 😌,1
gaudyblob,this makes me feel ill,1
veylnyynaa,OOH ini yang di x,1
rahmatpirmansah26,😳,1
viiii2804,owh ini live tdi,1
ess_jeruk,bawahnya lagi nge live,1
onyourlilann,parah bgt sihhh,1
yuniyayyy,😳😳😳,1
nnurr_anisa3,itu lagi live sambil klarifikasi,1
marcelrivano21,bodo amat,1
rahhx._,papi papi😹,1
nightblablazzy,mana cuma 2 org lagi yg klarifikasiiii,1
littleprncssss,trnyata pnya peraturan kampus yg strict not bad lahya😭 hidup mahasiswa poltekkes!!!,1
budisyaputra28,aku ketinggalan berita trs😭😭,1
chelletann,RUSAKKK BANGETTT,1
dcbajeng,@caca @H,1
mhaxskyyy,jadi keinget film photocopier,1
librage.me,oh ini pantesan fyp gue live fh lewat terus,1
juiiiptri,baru aja di atas liat live klarifikasi nyaa,1
rosespinkpastel_,lah di atas live klarif nya bang wkwk,1
jianajaemin,"tapi kasus kek gini sebenernya bnyak loh, di tiap kampus pasti ad yang kayak gini, cuma ga ketauan aja",1
waethera,ini nih mmps,1
paizansvw,"nama terkenal gara gara banyak orang yang pinter & kreativitas? atau gara gara kasusnya? ui ni kasusnya banyak banget loh, hampir tiap bulan ada aja kasusnya, wow that's ui",1
yayaaaaaaa130,[Sticker] sanksi tambahan:,1
cutesypaper,ternyata gak seburuk itu gak jadi masuk ui ☺️,1
grancia_a0i,stress bgt anj sekelas ui i a ia uiii a i,1
abelssss10,sakitt.,1
klupklup_20,@ａ @prikitieww @rowrr @Mary @️@𝒍օѵ𝑬𝗋𝗌𝗈𝗇eღ lewat fyp ku teross,1
elonk.mas,kasusnya apa? ngga jelas postingannya apa,1
theoyyaaa,UI ? FAKULTASS HUKUM ? Sekali lagi FAKULTASS HUKUM..🙃,1
sorrowfulreunion15,miris💔,1
windabakhtiar_,fakultas hukum woi wkwkw,1
tanelliaa,"kampus gue adem ayem sehat, tentram damai😭",1
widia4685,ui lagi ui lagi,1
tsyeuu,pie seeeee astaghfirullah,1
ramapengenjadilupi,emang ada hukum di Indonesia? 🗿,1
abcdabcd_4_,NJIR@𐙚 @￶￶,1
rarraascly,@sapilaaa @🍓 @nichie,1
mylodylovespink_,@n @ayam_popzzzzzz ga ngerti lg,1
jichangv,amiet² banget jir,1
alexturnerc,dari UI lagi..,1
p0utyiz,@🌱 @ninn_spekder🕷️🕸️ @mell✨ @💤,1
04id40,gilak sih ini,1
maydi_no0529,aku barusan bgtt liat live nya yang liatt tapi aku baru paham pas liat vid ini,1
aleteyyaaaa,"ui pro bngt, problem",1
ra.reee,Pentingnya pinter juga harus paham etika dan norma,1
when_dont,bukan salah fakultas nya tapi salah oknum nya ges,1
aksara_dharsana_praseta,tuh lagi live di ui,1
natala_1410,"njir gw jg angkatan 23, hukum juga tapi ga sampe situ pikiran gw 😳",1
rayasoupretty,fh ui😞,1
roosseyyy_,baru lewat live sidang nya wkwk,1
sebastianarchive03,[Sticker] lagi lagi UI,1
guagaabee,eh kepencet emot bang maaf,1
gjswagff,"byk wkwk, cuma lg sial ke UI aja",1
kyutbrahh,g asik gk boleh live,1
isamouvingon,seisi isinya problematik hmm,1
1amnotanoption,@nnay SUMPAH.,1
si5mund,damnn,1
sfniizzz_,@barbie and the bear @🕷️ @esecupse @. @arlythaa⭐️ @˚ ⊹faa ୨୧ ִֶָ ִֶָ,1
arda22784,nonton live klarifikasi dimna weh,1
popopotetoo,dgmw tp swasta lebih aman ga sih?,1
zhm_n,miris...,1
nauw1239,udah universitas impian ku mana fakultas hukum juga yg aku pengen edan tenan padahal aku pilih hukum biar bisa menegakkan keadilan😌,1
bbillyya_,@njwa:~),1
user0619972804649728409,ui egen,1
nfrww_,@ᥴey 𐙚:ternyata bener yaa pendidikan tidak menentukan pola pikir manusia..,1
xzsf8,WOI FAKULTAS HUKUMMMMMM WOI😭😭😭,1
planet.marzz_,UP UP UP!,1
vnnqt__,@taaA,1
memeadll,@beeee @نبيلة @￶￶ @asell🍙 ih apaan iniii,1
usnachdr,@cxllmebeurnme @gis.haha @ajaa @amel @miwew,1
sanberrymilk_,@inienai ui lagi ui lagi cuy,1
ndyeii,@‼️:fakultas hukum loh :(,1
ariqanissa,[Sticker] ,1
bebinailart,hah?? ada yg begitu 😭,1
sschyc0,fh loh wkwk,1
azrosblox8,syy bgt dikuliahin kek gitu mending ganti gw aja yg kuliah,1
tearapytea,bener' miris,1
ahngeonho1174,[Sticker] ,1
zkl898,ui bukannya kalo ada uang aman?,1
auliaaaaa_309,@belf🅰️ @ndri,1
ghffri_,belum juga masuk FHUI dah ada masalah💔,1
dil____111,@mie ayam_nasgorr jirr sekelas ui,1
gllgher.girl,@ada deh,1
_nesaam00n_,@vieyo,1
53l_4,@🌲 @Sea @알리파/fa🫜 @￴f @xsyaaa🧚‍♀️ @raaaa @ry. @𝚉𝙴𝙽 @𝚜𝚢𝚊𝚗𝚑𝚒𝚎,0
ayrsell,UI..FH..,1
cberdarah,@jusstrawberry0 @abcdefg,1
mwiamii_,loh loh ga bahaya ta? sekelas ui🫠,1
devlrey,klo ga uin ya ui,1
meowsl_,gilaa...,1
nastardenganwisman,tadi lihat ada yang live sedang sidang mereka,1
deenaaaw,naudzubillahi mindzalik...,1
vany_yp,"@RayshAA di x gua lagi rame, kaget si",1
dumpiniee,fh ui ga cape ya rame mulu?,1
moo00cyy,@buunnn00,1
justcall_meclez4,Fakultas Hukum loh.. :(,1
miegorenggg20,@fr @#LUCA,1
syarawara27,"udh UI, FH lagi miris sekalii",1
